Character Name,Status,Done By,Link to vid,Gifs Done?,Uploaded to Imgur?,,Notation required?
Paul,Complete ,,,Y,Y,http://imgur.com/a/01ZH8,
Lars,Complete,,,Y,Y,http://imgur.com/a/KvYO4,
Leo,Complete,,,Y,Y,http://imgur.com/a/6YDgY,
Armor King,Complete,,,Y,Y,http://imgur.com/a/CTGvb,
Jin,Complete,Diggs-86 / TinyTiger,https://www.youtube.com/watch?v=bQih-LYoyWk,Y,Y,http://imgur.com/a/45Fh6#0,Y
Feng,Complete,Keo / Bobo,http://youtu.be/2o8XH7e9VAI,Y,Y,http://imgur.com/a/czAsU,
True Ogre,Complete,Keo/Jeremiah,http://youtu.be/N72b6hhTiIA,In progress,,,
F. Law,Complete,Freddie,https://www.youtube.com/watch?v=lJvw9yqRYHw,Y,N,,
M. Law,In Progress,Cuong,,In Progress,,,
Panda,Complete,Keo / TinyTiger,http://youtu.be/l2Wrbujwvyc,Y,Y,http://imgur.com/a/afl36,Y
Kuma,Complete,Keo / TinyTiger,http://youtu.be/fa2nOAqIW1M,Y,Y,http://imgur.com/a/VACSs#0,
Kazuya,Complete,Keo / TinyTiger,http://youtu.be/QeMMkEfI4Jk,Y,Y,http://imgur.com/a/78Jlj,
Slim Bob,Complete,Keo / TinyTiger,http://youtu.be/bbW8xM5clHA,Y,Y,http://imgur.com/a/VE1Dp#0,Y
Bob,Complete,Keo / TinyTiger,http://youtu.be/RiS9jwD3LVk,Y,Y,http://imgur.com/a/LKQYC#0,Y
Hwoarang,Complete,Cuong,http://www.youtube.com/watch?v=jip_j9Shrwc,Y,Y,http://imgur.com/a/geKug,N
Xiaoyu,Complete,Cuong/Bob,http://www.youtube.com/watch?v=O2dPtipVt3k,Y,Y,http://imgur.com/a/JEpX8#0,N
Lei,Complete,Cuong / TinyTiger,https://www.youtube.com/watch?v=4kn3v_jT4J4&feature=youtu.be,Y,Y,http://imgur.com/a/S47ko#0,Y
Michelle,Complete,Cuong/TinyTiger/Bob,https://www.youtube.com/watch?v=4kn3v_jT4J4&feature=youtu.be,Y,Y,http://imgur.com/a/A2UW7#0,Y
Lee,Complete,Keo / TinyTiger,http://youtu.be/2A8YZvcaZA0,Y,Y,http://imgur.com/a/mLIM0#0,Y
Raven,Complete,Keo / TinyTiger,http://youtu.be/LmoMNePid44,Y,Y,http://imgur.com/a/3uvL6#0,Y
Ancient Ogre,Complete,Keo/Jeremiah,http://youtu.be/9bcuBB2_3lQ,In progress,,,
Alisa,Complete,Keo / TinyTiger,http://youtu.be/DebrpOni7Ew,Y,Y,http://imgur.com/a/1gDuZ,Y
Jack-6,Complete,Keo / TinyTiger,http://youtu.be/7_mbK4nd36c,Y,Y,http://imgur.com/a/dXueZ,Y
Jinpachi,Complete,Keo / Bobo,http://youtu.be/vqjH65kqSi8,In Progress,,,
Jun,Complete,Luksgammer / TinyTiger,https://www.youtube.com/watch?v=vL1am3UpHmE,Y,Y,http://imgur.com/a/6yQL9,Y
Asuka,Complete,Luksgammer / TinyTiger,https://www.youtube.com/watch?v=FAqtdoHPh-o,Y,Y,http://imgur.com/a/aC59X,Y
Unknown,Complete,Luksgammer,,,,,
Alex,Complete,Keo / TinyTiger,http://youtu.be/GB39tj0Kpho,In Progress,In progress,,
Angel,Complete,Diggs-86,https://www.youtube.com/watch?v=Wi9b7xYq5oE,,,,
Anna,Complete,Diggs-86,http://youtu.be/otOnjLvUrek,,,,
Baek,Complete,Keo,http://youtu.be/YnfShN0Lqn0,,,,
Dr.B,Complete,Keo,http://youtu.be/bHOCBEJAqBo,,,,
Christie,Complete,Keo,http://youtu.be/vVvhbWLQPJs,,,,
Eddy,Complete,Keo,http://youtu.be/ewGeFc7_Eqs,,,,
Tiger,Complete,Keo,http://youtu.be/kd2xe_8oEAY,,,,
Marduk,In progress,Keo,,,,,
Ganryu,In progress,Keo,,,,,
P.Jack,In progress,Keo,,,,,
Nina,Complete,Keo / Bobo,http://youtu.be/QiEQ_gAKEBA,In progress,,,
Roger Jr.,In progress,Keo,,,,,
Dragunov,Complete,Keo / Bobo,http://youtu.be/Uj7tCB9jI5k,Y,Y,http://imgur.com/a/Tp30O,
Devil Jin,Complete,Diggs-86 / TinyTiger,https://www.youtube.com/watch?v=uu6B_NwlPZc,Y,Y,http://imgur.com/a/cgLBQ,
Heihachi,Complete,Diggs-86 / TinyTiger,https://www.youtube.com/watch?v=UdJL6Y47AXA,Y,Y,http://imgur.com/a/NCCcw#0,Y
Wang,Complete,Diggs-86,https://www.youtube.com/watch?v=VUdIJTuGhZU,,,,
Kunimitsu,Complete,Diggs-86,https://www.youtube.com/watch?v=Y8eL0tDRyq4,,,,
Lili,,,,,,,
Sebastian,,,,,,,
Miharu,,,,,,,
Bruce,Complete,Diggs-86,https://www.youtube.com/watch?v=HcmFNHqahqk,,,,
Miguel,Complete,Diggs-86,https://www.youtube.com/watch?v=dyZOwL8KmHU,,,,
King,Complete,Diggs-86,,,,,
Yoshimitsu,Complete,Diggs-86,https://www.youtube.com/watch?v=REalwuHBAZ4,,,,
Jaycee,,,,,,,
Zafina,Complete,Diggs-86,http://www.mediafire.com/watch/wa9t7r2zy241jdq/TCZAFINAR.mp4,,,,
Steve,Complete,Diggs-86,http://www.mediafire.com/watch/62dqgb93mfbaagn/TCSTEVER.mp4,,,,
Bryan,Complete,Diggs-86,https://www.youtube.com/watch?v=bZjgX28H5Ak,,,,
Violet,Complete,Diggs-86,https://www.youtube.com/watch?v=6JEBUD3fZ1M,,,,
